timestamp,armed,prearmed,ready_to_arm,lockdown,manual_lockdown,force_failsafe,in_esc_calibration_mode,soft_stop
57000,0,0,1,0,0,0,0,0
564000,0,0,1,0,0,0,0,0
1072000,0,0,1,0,0,0,0,0
1520000,0,0,1,0,0,0,0,0
2025000,0,0,1,0,0,0,0,0
2537000,0,0,1,0,0,0,0,0
3039000,0,0,1,0,0,0,0,0
3548000,0,0,1,0,0,0,0,0
4052000,0,0,1,0,0,0,0,0
4272000,0,0,1,0,0,0,0,0
4777000,0,0,1,0,0,0,0,0
5293000,0,0,1,0,0,0,0,0
5796000,0,0,1,0,0,0,0,0
6308000,0,0,1,0,0,0,0,0
6809000,0,0,1,0,0,0,0,0
7316000,0,0,1,0,0,0,0,0
7825000,0,0,1,0,0,0,0,0
8332000,0,0,1,0,0,0,0,0
8845000,0,0,1,0,0,0,0,0
9360000,0,0,1,0,0,0,0,0
9868000,0,0,1,0,0,0,0,0
10376000,0,0,1,0,0,0,0,0
10877000,0,0,1,0,0,0,0,0
11061000,0,0,1,0,0,0,0,0
11573000,0,0,1,0,0,0,0,0
12073000,0,0,1,0,0,0,0,0
12581000,0,0,1,0,0,0,0,0
13085000,0,0,1,0,0,0,0,0
13596000,0,0,1,0,0,0,0,0
14096000,0,0,1,0,0,0,0,0
14601000,0,0,1,0,0,0,0,0
14924000,0,0,1,0,0,0,0,0
15428000,0,0,1,0,0,0,0,0
15592000,0,0,1,0,0,0,0,0
15889000,1,0,1,0,0,0,0,0
16016000,1,0,1,0,0,0,0,0
16121000,1,0,1,0,0,0,0,0
16625000,1,0,1,0,0,0,0,0
16692000,1,0,1,0,0,0,0,0
16717000,1,0,1,0,0,0,0,0
16752000,1,0,1,0,0,0,0,0
17252000,1,0,1,0,0,0,0,0
17760000,1,0,1,0,0,0,0,0
17937000,1,0,1,0,0,0,0,0
17949000,1,0,1,0,0,0,0,0
18456000,1,0,1,0,0,0,0,0
18956000,1,0,1,0,0,0,0,0
19460000,1,0,1,0,0,0,0,0
19964000,1,0,1,0,0,0,0,0
20469000,1,0,1,0,0,0,0,0
20976000,1,0,1,0,0,0,0,0
21484000,1,0,1,0,0,0,0,0
21984000,1,0,1,0,0,0,0,0
22484000,1,0,1,0,0,0,0,0
22992000,1,0,1,0,0,0,0,0
23072000,1,0,1,0,0,0,0,0
23109000,1,0,1,0,0,0,0,0
23149000,1,0,1,0,0,0,0,0
23660000,1,0,1,0,0,0,0,0
24160000,1,0,1,0,0,0,0,0
24664000,1,0,1,0,0,0,0,0
25168000,1,0,1,0,0,0,0,0
25676000,1,0,1,0,0,0,0,0
26184000,1,0,1,0,0,0,0,0
26316000,1,0,1,0,0,0,0,0
26421000,1,0,1,0,0,0,0,0
26613000,1,0,1,0,0,0,0,0
27120000,1,0,1,0,0,0,0,0
27624000,1,0,1,0,0,0,0,0
28129000,1,0,1,0,0,0,0,0
28632000,1,0,1,0,0,0,0,0
29140000,1,0,1,0,0,0,0,0
29652000,1,0,1,0,0,0,0,0
30152000,1,0,1,0,0,0,0,0
30656000,1,0,1,0,0,0,0,0
31164000,1,0,1,0,0,0,0,0
31665000,1,0,1,0,0,0,0,0
32172000,1,0,1,0,0,0,0,0
32673000,1,0,1,0,0,0,0,0
33176000,1,0,1,0,0,0,0,0
33680000,1,0,1,0,0,0,0,0
34189000,1,0,1,0,0,0,0,0
34700000,1,0,1,0,0,0,0,0
35205000,1,0,1,0,0,0,0,0
35716000,1,0,1,0,0,0,0,0
36217000,1,0,1,0,0,0,0,0
36727000,1,0,1,0,0,0,0,0
36844000,1,0,1,0,0,0,0,0
36949000,1,0,1,0,0,0,0,0
36960000,1,0,1,0,0,0,0,0
37468000,1,0,1,0,0,0,0,0
37973000,1,0,1,0,0,0,0,0
38484000,1,0,1,0,0,0,0,0
38992000,1,0,1,0,0,0,0,0
39504000,1,0,1,0,0,0,0,0
40012000,1,0,1,0,0,0,0,0
40512000,1,0,1,0,0,0,0,0
41021000,1,0,1,0,0,0,0,0
41529000,1,0,1,0,0,0,0,0
41937000,0,0,1,0,0,0,0,0
42153000,0,0,1,0,0,0,0,0
42664000,0,0,1,0,0,0,0,0
